ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-26,24.999964255784004,24.998730997728476,25.001370362111626,24.999964255784004,24.999964255784004,1.2960432586785848e-05,1.2960432586785848e-05,1.2960432586785848e-05,1.2960432586785848e-05,1.2960432586785848e-05,1.2960432586785848e-05,0.0,0.0,0.0,24.999977216216593
2020-01-27,25.999979311494005,25.998595704122877,26.001156619625036,25.999979311494005,25.999979311494005,-3.643991549993829e-06,-3.643991549993829e-06,-3.643991549993829e-06,-3.643991549993829e-06,-3.643991549993829e-06,-3.643991549993829e-06,0.0,0.0,0.0,25.999975667502454
2020-01-28,26.999994367204,26.99871942035773,27.001345783212596,26.999994367204,26.999994367204,-2.0904714804035344e-05,-2.0904714804035344e-05,-2.0904714804035344e-05,-2.0904714804035344e-05,-2.0904714804035344e-05,-2.0904714804035344e-05,0.0,0.0,0.0,26.999973462489194
2020-01-29,28.000009422913994,27.998609027288907,28.001332330400743,28.000009422913994,28.000009422913994,-2.2659655888769116e-05,-2.2659655888769116e-05,-2.2659655888769116e-05,-2.2659655888769116e-05,-2.2659655888769116e-05,-2.2659655888769116e-05,0.0,0.0,0.0,27.999986763258104
2020-01-30,28.999998856623996,28.998755114108203,29.00125781177283,28.999998856623996,28.999998856623996,-5.301048554957541e-06,-5.301048554957541e-06,-5.301048554957541e-06,-5.301048554957541e-06,-5.301048554957541e-06,-5.301048554957541e-06,0.0,0.0,0.0,28.99999355557544
2020-01-31,29.999988290334,29.99866343028305,30.001372966425436,29.999988290334,29.999988290334,1.610084249360345e-05,1.610084249360345e-05,1.610084249360345e-05,1.610084249360345e-05,1.610084249360345e-05,1.610084249360345e-05,0.0,0.0,0.0,30.000004391176493
2020-02-01,30.999977724044,30.99875816752227,31.001283408235786,30.999977724044,30.999977724044,2.3448135717358e-05,2.3448135717358e-05,2.3448135717358e-05,2.3448135717358e-05,2.3448135717358e-05,2.3448135717358e-05,0.0,0.0,0.0,31.00000117217972
2020-02-02,31.999967157753996,31.998731179361283,32.00139481684942,31.999967157753996,31.999967157753996,1.2960432586775243e-05,1.2960432586775243e-05,1.2960432586775243e-05,1.2960432586775243e-05,1.2960432586775243e-05,1.2960432586775243e-05,0.0,0.0,0.0,31.999980118186585
2020-02-03,32.999986111064,32.99876252766167,33.001312942512804,32.999986111064,32.999986111064,-3.6439915499317302e-06,-3.6439915499317302e-06,-3.6439915499317302e-06,-3.6439915499317302e-06,-3.6439915499317302e-06,-3.6439915499317302e-06,0.0,0.0,0.0,32.99998246707245
2020-02-04,34.000005064373994,33.99871061059884,34.00129277387908,34.000005064373994,34.000005064373994,-2.0904714804045776e-05,-2.0904714804045776e-05,-2.0904714804045776e-05,-2.0904714804045776e-05,-2.0904714804045776e-05,-2.0904714804045776e-05,0.0,0.0,0.0,33.99998415965919
